class_index,class,height,width,scale by
0,Didgeridoo,224,224,1
1,Tambourine,224,224,1
2,Xylophone,224,224,1
3,acordian,224,224,1
4,alphorn,224,224,1
5,bagpipes,224,224,1
6,banjo,224,224,1
7,bongo drum,224,224,1
8,casaba,224,224,1
9,castanets,224,224,1
10,clarinet,224,224,1
11,clavichord,224,224,1
12,concertina,224,224,1
13,drums,224,224,1
14,dulcimer,224,224,1
15,flute,224,224,1
16,guiro,224,224,1
17,guitar,224,224,1
18,harmonica,224,224,1
19,harp,224,224,1
20,marakas,224,224,1
21,ocarina,224,224,1
22,piano,224,224,1
23,saxaphone,224,224,1
24,sitar,224,224,1
25,steel drum,224,224,1
26,trombone,224,224,1
27,trumpet,224,224,1
28,tuba,224,224,1
29,violin,224,224,1
